"sample_index","file_name","timestamp","byte_4","byte_4_diff","driving_state"
"1","00000001-69B44F7F.MF4","3.1778999999999997","3","0.0","idle"
"2","00000001-69B44F7F.MF4","3.39795","14","11.0","idle"
"3","00000001-69B44F7F.MF4","3.5877","1","13.0","idle"
"4","00000001-69B44F7F.MF4","3.7695999999999996","254","253.0","driving"
"5","00000001-69B44F7F.MF4","3.9677","251","3.0","idle"
"6","00000001-69B44F7F.MF4","4.1655999999999995","251","0.0","idle"
"7","00000001-69B44F7F.MF4","4.36505","2","249.0","driving"
"8","00000001-69B44F7F.MF4","4.561599999999999","252","250.0","driving"
"9","00000001-69B44F7F.MF4","4.76105","252","0.0","idle"
"10","00000001-69B44F7F.MF4","4.9593","0","252.0","driving"
"11","00000001-69B44F7F.MF4","5.1572","9","9.0","idle"
"12","00000001-69B44F7F.MF4","5.355049999999999","235","226.0","driving"
"13","00000001-69B44F7F.MF4","5.55305","116","119.0","driving"
"14","00000001-69B44F7F.MF4","5.751049999999999","66","50.0","driving"
"15","00000001-69B44F7F.MF4","5.9491499999999995","13","53.0","driving"
"16","00000001-69B44F7F.MF4","6.1472","221","208.0","driving"
"17","00000001-69B44F7F.MF4","6.34505","212","9.0","idle"
"18","00000001-69B44F7F.MF4","6.54305","244","32.0","driving"
"19","00000001-69B44F7F.MF4","6.7410499999999995","219","25.0","driving"
"20","00000001-69B44F7F.MF4","6.9392","120","99.0","driving"
"21","00000001-69B44F7F.MF4","7.1372","2","118.0","driving"
"22","00000001-69B44F7F.MF4","7.3351","2","0.0","idle"
"23","00000001-69B44F7F.MF4","7.533099999999999","1","1.0","idle"
"24","00000001-69B44F7F.MF4","7.7311","1","0.0","idle"
"25","00000001-69B44F7F.MF4","7.92915","1","0.0","idle"
"26","00000001-69B44F7F.MF4","8.1272","255","254.0","driving"
"27","00000001-69B44F7F.MF4","8.32505","254","1.0","idle"
"28","00000001-69B44F7F.MF4","8.52305","253","1.0","idle"
"29","00000001-69B44F7F.MF4","8.72105","255","2.0","idle"
"30","00000001-69B44F7F.MF4","8.91935","255","0.0","idle"
"31","00000001-69B44F7F.MF4","9.1172","1","254.0","driving"
"32","00000001-69B44F7F.MF4","9.31505","2","1.0","idle"
"33","00000001-69B44F7F.MF4","9.5131","1","1.0","idle"
"34","00000001-69B44F7F.MF4","9.7111","0","1.0","idle"
"35","00000001-69B44F7F.MF4","9.90925","253","253.0","driving"
"36","00000001-69B44F7F.MF4","10.107199999999999","253","0.0","idle"
"37","00000001-69B44F7F.MF4","10.3051","252","1.0","idle"
"38","00000001-69B44F7F.MF4","10.5031","253","1.0","idle"
"39","00000001-69B44F7F.MF4","10.7011","254","1.0","idle"
"40","00000001-69B44F7F.MF4","10.89935","254","0.0","idle"
"41","00000001-69B44F7F.MF4","11.097199999999999","255","1.0","idle"
"42","00000001-69B44F7F.MF4","11.29505","255","0.0","idle"
"43","00000001-69B44F7F.MF4","11.49305","0","255.0","driving"
"44","00000001-69B44F7F.MF4","11.691049999999999","0","0.0","idle"
"45","00000001-69B44F7F.MF4","11.889299999999999","0","0.0","idle"
"46","00000001-69B44F7F.MF4","12.0872","255","255.0","driving"
"47","00000001-69B44F7F.MF4","12.2836","253","2.0","idle"
"48","00000001-69B44F7F.MF4","12.4816","253","0.0","idle"
"49","00000001-69B44F7F.MF4","12.679599999999999","253","0.0","idle"
"50","00000001-69B44F7F.MF4","12.877699999999999","253","0.0","idle"
"51","00000001-69B44F7F.MF4","13.0756","254","1.0","idle"
"52","00000001-69B44F7F.MF4","13.2736","255","1.0","idle"
"53","00000001-69B44F7F.MF4","13.471599999999999","0","255.0","driving"
"54","00000001-69B44F7F.MF4","13.669599999999999","1","1.0","idle"
"55","00000001-69B44F7F.MF4","13.867899999999999","1","0.0","idle"
"56","00000001-69B44F7F.MF4","14.0656","0","1.0","idle"
"57","00000001-69B44F7F.MF4","14.263599999999999","254","254.0","driving"
"58","00000001-69B44F7F.MF4","14.4622","255","1.0","idle"
"59","00000001-69B44F7F.MF4","14.6596","254","1.0","idle"
"60","00000001-69B44F7F.MF4","14.85775","1","253.0","driving"
"61","00000001-69B44F7F.MF4","15.0556","0","1.0","idle"
"62","00000001-69B44F7F.MF4","15.253599999999999","1","1.0","idle"
"63","00000001-69B44F7F.MF4","15.451649999999999","2","1.0","idle"
"64","00000001-69B44F7F.MF4","15.64965","0","2.0","idle"
"65","00000001-69B44F7F.MF4","15.8477","255","255.0","driving"
"66","00000001-69B44F7F.MF4","16.0456","254","1.0","idle"
"67","00000001-69B44F7F.MF4","16.2436","254","0.0","idle"
"68","00000001-69B44F7F.MF4","16.441599999999998","253","1.0","idle"
"69","00000001-69B44F7F.MF4","16.639599999999998","253","0.0","idle"
"70","00000001-69B44F7F.MF4","16.83775","2","251.0","driving"
"71","00000001-69B44F7F.MF4","17.0356","4","2.0","idle"
"72","00000001-69B44F7F.MF4","17.2336","255","251.0","driving"
"73","00000001-69B44F7F.MF4","17.4316","11","244.0","driving"
"74","00000001-69B44F7F.MF4","17.6296","194","183.0","driving"
"75","00000001-69B44F7F.MF4","17.827749999999998","1","193.0","driving"
"76","00000001-69B44F7F.MF4","18.02565","17","16.0","idle"
"77","00000001-69B44F7F.MF4","18.22365","30","13.0","idle"
"78","00000001-69B44F7F.MF4","18.42165","28","2.0","idle"
"79","00000001-69B44F7F.MF4","18.61965","41","13.0","idle"
"80","00000001-69B44F7F.MF4","18.81785","246","205.0","driving"
"81","00000001-69B44F7F.MF4","19.01565","217","29.0","driving"
"82","00000001-69B44F7F.MF4","19.2136","2","215.0","driving"
"83","00000001-69B44F7F.MF4","19.4116","237","235.0","driving"
"84","00000001-69B44F7F.MF4","19.6096","18","219.0","driving"
"85","00000001-69B44F7F.MF4","19.80775","233","215.0","driving"
"86","00000001-69B44F7F.MF4","20.00565","8","225.0","driving"
"87","00000001-69B44F7F.MF4","20.20365","5","3.0","idle"
"88","00000001-69B44F7F.MF4","20.40165","6","1.0","idle"
"89","00000001-69B44F7F.MF4","20.59965","255","249.0","driving"
"90","00000001-69B44F7F.MF4","20.79785","3","252.0","driving"
"91","00000001-69B44F7F.MF4","20.995649999999998","255","252.0","driving"
"92","00000001-69B44F7F.MF4","21.193649999999998","4","251.0","driving"
"93","00000001-69B44F7F.MF4","21.39165","251","247.0","driving"
"94","00000001-69B44F7F.MF4","21.58965","255","4.0","idle"
"95","00000001-69B44F7F.MF4","21.7878","253","2.0","idle"
"96","00000001-69B44F7F.MF4","21.98565","252","1.0","idle"
"97","00000001-69B44F7F.MF4","22.1836","249","3.0","idle"
"98","00000001-69B44F7F.MF4","22.3816","246","3.0","idle"
"99","00000001-69B44F7F.MF4","22.579649999999997","244","2.0","idle"
"100","00000001-69B44F7F.MF4","22.777749999999997","250","6.0","idle"
"101","00000001-69B44F7F.MF4","22.975649999999998","253","3.0","idle"
"102","00000001-69B44F7F.MF4","23.17365","10","243.0","driving"
"103","00000001-69B44F7F.MF4","23.37165","254","244.0","driving"
"104","00000001-69B44F7F.MF4","23.56965","3","251.0","driving"
"105","00000001-69B44F7F.MF4","23.767899999999997","5","2.0","idle"
"106","00000001-69B44F7F.MF4","23.96565","5","0.0","idle"
"107","00000001-69B44F7F.MF4","24.16365","7","2.0","idle"
"108","00000001-69B44F7F.MF4","24.363149999999997","4","3.0","idle"
"109","00000001-69B44F7F.MF4","24.561149999999998","4","0.0","idle"
"110","00000001-69B44F7F.MF4","24.759249999999998","250","246.0","driving"
"111","00000001-69B44F7F.MF4","24.9571","252","2.0","idle"
"112","00000001-69B44F7F.MF4","25.15525","252","0.0","idle"
"113","00000001-69B44F7F.MF4","25.353099999999998","251","1.0","idle"
"114","00000001-69B44F7F.MF4","25.551099999999998","0","251.0","driving"
"115","00000001-69B44F7F.MF4","25.74925","2","2.0","idle"
"116","00000001-69B44F7F.MF4","25.9471","4","2.0","idle"
"117","00000001-69B44F7F.MF4","26.145249999999997","9","5.0","idle"
"118","00000001-69B44F7F.MF4","26.343149999999998","7","2.0","idle"
"119","00000001-69B44F7F.MF4","26.54115","7","0.0","idle"
"120","00000001-69B44F7F.MF4","26.73925","2","5.0","idle"
"121","00000001-69B44F7F.MF4","26.93715","4","2.0","idle"
"122","00000001-69B44F7F.MF4","27.13525","255","251.0","driving"
"123","00000001-69B44F7F.MF4","27.33315","252","3.0","idle"
"124","00000001-69B44F7F.MF4","27.53115","253","1.0","idle"
"125","00000001-69B44F7F.MF4","27.729599999999998","251","2.0","idle"
"126","00000001-69B44F7F.MF4","27.9271","251","0.0","idle"
"127","00000001-69B44F7F.MF4","28.125249999999998","248","3.0","idle"
"128","00000001-69B44F7F.MF4","28.32315","248","0.0","idle"
"129","00000001-69B44F7F.MF4","28.52115","250","2.0","idle"
"130","00000001-69B44F7F.MF4","28.7194","249","1.0","idle"
"131","00000001-69B44F7F.MF4","28.91715","254","5.0","idle"
"132","00000001-69B44F7F.MF4","29.11525","255","1.0","idle"
"133","00000001-69B44F7F.MF4","29.31315","3","252.0","driving"
"134","00000001-69B44F7F.MF4","29.511149999999997","2","1.0","idle"
"135","00000001-69B44F7F.MF4","29.7093","5","3.0","idle"
"136","00000001-69B44F7F.MF4","29.907149999999998","5","0.0","idle"
"137","00000001-69B44F7F.MF4","30.1053","4","1.0","idle"
"138","00000001-69B44F7F.MF4","30.30315","5","1.0","idle"
"139","00000001-69B44F7F.MF4","30.50115","6","1.0","idle"
"140","00000001-69B44F7F.MF4","30.69935","25","19.0","idle"
"141","00000001-69B44F7F.MF4","30.89565","26","1.0","idle"
"142","00000001-69B44F7F.MF4","31.09365","252","226.0","driving"
"143","00000001-69B44F7F.MF4","31.292299999999997","255","3.0","idle"
"144","00000001-69B44F7F.MF4","31.490299999999998","255","0.0","idle"
"145","00000001-69B44F7F.MF4","31.6893","2","253.0","driving"
"146","00000001-69B44F7F.MF4","31.88715","4","2.0","idle"
"147","00000001-69B44F7F.MF4","32.08525","4","0.0","idle"
"148","00000001-69B44F7F.MF4","32.28315","5","1.0","idle"
"149","00000001-69B44F7F.MF4","32.48115","4","1.0","idle"
"150","00000001-69B44F7F.MF4","32.6794","2","2.0","idle"
"151","00000001-69B44F7F.MF4","32.87715","0","2.0","idle"
"152","00000001-69B44F7F.MF4","33.0753","253","253.0","driving"
"153","00000001-69B44F7F.MF4","33.27315","254","1.0","idle"
"154","00000001-69B44F7F.MF4","33.46965","250","4.0","idle"
"155","00000001-69B44F7F.MF4","33.66785","249","1.0","idle"
"156","00000001-69B44F7F.MF4","33.865649999999995","250","1.0","idle"
"157","00000001-69B44F7F.MF4","34.063649999999996","32","218.0","driving"
"158","00000001-69B44F7F.MF4","34.2617","4","28.0","driving"
"159","00000001-69B44F7F.MF4","34.4597","1","3.0","idle"
"160","00000001-69B44F7F.MF4","34.6578","245","244.0","driving"
"161","00000001-69B44F7F.MF4","34.8557","239","6.0","idle"
"162","00000001-69B44F7F.MF4","35.0537","0","239.0","driving"
"163","00000001-69B44F7F.MF4","35.2517","2","2.0","idle"
"164","00000001-69B44F7F.MF4","35.4497","2","0.0","idle"
"165","00000001-69B44F7F.MF4","35.6478","6","4.0","idle"
"166","00000001-69B44F7F.MF4","35.847449999999995","3","3.0","idle"
"167","00000001-69B44F7F.MF4","36.04365","5","2.0","idle"
"168","00000001-69B44F7F.MF4","36.24165","2","3.0","idle"
"169","00000001-69B44F7F.MF4","36.439699999999995","0","2.0","idle"
"170","00000001-69B44F7F.MF4","36.637899999999995","0","0.0","idle"
"171","00000001-69B44F7F.MF4","36.835699999999996","253","253.0","driving"
"172","00000001-69B44F7F.MF4","37.033699999999996","251","2.0","idle"
"173","00000001-69B44F7F.MF4","37.2317","5","246.0","driving"
"174","00000001-69B44F7F.MF4","37.4297","4","1.0","idle"
"175","00000001-69B44F7F.MF4","37.627849999999995","5","1.0","idle"
"176","00000001-69B44F7F.MF4","37.8257","6","1.0","idle"
"177","00000001-69B44F7F.MF4","38.0237","8","2.0","idle"
"178","00000001-69B44F7F.MF4","38.2217","31","23.0","driving"
"179","00000001-69B44F7F.MF4","38.4197","21","10.0","idle"
"180","00000001-69B44F7F.MF4","38.6179","252","231.0","driving"
