timestamp,can_id,byte_0,byte_1,byte_2,byte_3,byte_4,byte_5,byte_6,byte_7,byte_4_diff,driving_state
3.2017499999999997,111,157,243,14,57,29,6,176,131,,idle
3.4118999999999997,111,159,179,238,57,145,122,239,130,116.0,driving
3.69185,111,169,163,142,60,7,78,176,125,138.0,driving
3.99175,111,165,83,14,59,250,157,175,128,243.0,driving
4.1895999999999995,111,169,115,174,59,245,45,144,131,5.0,idle
4.38755,111,161,11,207,188,170,241,175,112,75.0,driving
4.58555,111,175,219,13,56,229,69,176,125,59.0,driving
4.78355,111,165,99,46,60,241,153,176,123,12.0,driving
4.9818,111,169,179,78,58,34,46,175,124,207.0,driving
5.17955,111,161,131,110,187,27,194,207,122,7.0,idle
5.377549999999999,111,183,43,46,60,45,162,174,149,18.0,driving
5.57555,111,175,195,77,58,24,186,207,131,21.0,driving
5.77355,111,129,227,109,58,229,105,48,120,205.0,driving
5.97175,111,169,163,142,189,11,154,16,117,218.0,driving
6.1696,111,165,99,46,188,239,241,79,127,228.0,driving
6.3675999999999995,111,161,75,78,187,30,78,144,124,209.0,driving
6.5656,111,151,115,14,60,9,46,144,120,21.0,driving
6.763599999999999,111,161,107,142,61,13,254,110,119,4.0,idle
6.9617,111,151,43,46,187,225,169,17,122,212.0,driving
7.159599999999999,111,187,67,14,189,241,173,48,130,16.0,driving
7.35755,111,195,147,78,187,180,109,51,134,61.0,driving
7.555549999999999,111,165,19,15,61,56,122,207,139,124.0,driving
7.75355,111,163,179,142,187,229,17,144,127,173.0,driving
7.9517,111,147,147,174,57,226,205,112,128,3.0,idle
8.14955,111,177,211,206,59,19,226,47,122,207.0,driving
8.34755,111,171,107,206,58,10,34,16,120,9.0,idle
8.54555,111,145,219,14,188,183,1,118,105,173.0,driving
8.743599999999999,111,217,171,78,56,87,86,215,94,96.0,driving
8.941849999999999,111,39,180,78,55,161,124,179,52,74.0,driving
9.14115,111,33,236,240,183,7,130,114,143,154.0,driving
9.33905,111,53,76,176,54,61,94,19,137,54.0,driving
9.53705,111,65,108,144,182,4,202,108,138,57.0,driving
9.7351,111,23,228,175,183,114,95,9,193,110.0,driving
9.93325,111,185,123,206,187,21,218,12,138,93.0,driving
10.1312,111,193,3,46,188,4,42,240,121,17.0,driving
10.32905,111,165,139,206,188,30,54,234,108,26.0,driving
10.52705,111,225,75,141,62,246,13,239,111,216.0,driving
10.72505,111,229,3,141,62,230,57,113,141,16.0,driving
